iso3,country,region_group,year,GDP_Growth_pct,GDP_USD,GDP_per_capita_USD,Inflation_pct,Public_debt_pct_GDP,Unemployment_pct
GHA,Ghana,Afrique,2022,3.80484980952164,73919003209.9866,2229.89122647803,31.2558951049016,,3.084
GHA,Ghana,Afrique,2023,3.14009099763754,80547146878.3843,2383.90410483418,38.1069656296501,,3.063
GHA,Ghana,Afrique,2024,5.59045469593266,82308110386.4641,2390.77237652715,22.8483281157842,,3.007
ITA,Italy,Europe,2000,3.88209885062652,1149661363439.38,20190.0035636084,2.53768532095002,,10.834
ITA,Italy,Europe,2001,2.00643329837733,1172041488805.87,20570.4385917862,2.78516542713554,,9.599
ITA,Italy,Europe,2002,0.26992966378873,1281746271196.04,22451.3964379368,2.46532319171165,,9.211
ITA,Italy,Europe,2003,0.0665538088732092,1582930016538.82,27577.5700319855,2.6725555277285,,8.869
ITA,Italy,Europe,2004,1.4740217064723,1812808753294.75,31348.1901841445,2.20673661423657,,7.866
ITA,Italy,Europe,2005,0.762410677306491,1864982261286.85,32062.723833669,1.9852929852798,,7.73
ITA,Italy,Europe,2006,1.79947992234244,1958563654385.64,33537.1286994269,2.09084391012754,,6.777
ITA,Italy,Europe,2007,1.46229205289291,2222524108127.65,37826.1754554823,1.82974112202403,,6.076
ITA,Italy,Europe,2008,-1.02313851177097,2417508414187.19,40828.5795580937,3.34783258401022,,6.723
ITA,Italy,Europe,2009,-5.30515401233991,2209484319012.65,37099.6133958219,0.774768131387381,,7.749
ITA,Italy,Europe,2010,1.52910573247101,2144936254535.0,35856.8625485539,1.52551602118248,,8.363
ITA,Italy,Europe,2011,0.695463154440176,2306974020278.21,38432.3742820019,2.78063272879323,,8.359
ITA,Italy,Europe,2012,-3.12523877282996,2097929495121.68,34854.3949441965,3.04136333226775,,10.655
ITA,Italy,Europe,2013,-1.81802510749792,2153225581941.46,35701.6746002376,1.21999342274306,,12.149
ITA,Italy,Europe,2014,-0.0013876173045446,2173255507985.84,36028.3494022349,0.241047429826756,,12.683
ITA,Italy,Europe,2015,0.885667635240807,1845428048839.1,30639.8829751432,0.0387903996579733,,11.896
ITA,Italy,Europe,2016,1.23622108511661,1887111188176.93,31391.5692898108,-0.09401665691575,,11.688
ITA,Italy,Europe,2017,1.60369995294101,1970720904584.71,32844.115660604,1.22653316645812,,11.211
ITA,Italy,Europe,2018,0.826646712344115,2099435266458.67,34904.1081923834,1.13748763600391,,10.61
ITA,Italy,Europe,2019,0.429162533780342,2019606796583.53,33812.788724868,0.611246943765304,,9.951
ITA,Italy,Europe,2020,-8.86822122185345,1907481094079.23,32091.4866621366,-0.13770757391651,,9.164
ITA,Italy,Europe,2021,8.93106210800055,2179207773596.09,36852.5425414951,1.87378325762481,,9.497
ITA,Italy,Europe,2022,4.82117669913565,2104067630319.46,35653.9042103495,8.20128991161718,,8.069
ITA,Italy,Europe,2023,0.975694840127005,2316727999333.18,39277.0838783918,5.62219442195901,,7.627
ITA,Italy,Europe,2024,0.692676948440536,2380825077243.59,40385.3413957669,0.982373023061417,,6.778
KEN,Kenya,Afrique,2000,0.599695390807426,12705350097.8044,414.626365130846,9.98002515350979,,2.889
KEN,Kenya,Afrique,2001,3.77990649795343,12986007425.8781,410.700452474814,5.73859814341467,,2.881
KEN,Kenya,Afrique,2002,0.546859530175595,13147736898.5176,402.936385605382,1.96130821739162,,2.919
KEN,Kenya,Afrique,2003,2.93247554570904,14904517649.8476,442.898457253405,9.81569062979654,,2.873
KEN,Kenya,Afrique,2004,5.10429977629738,16095337093.8366,463.662781300121,11.6240355442426,,2.848
KEN,Kenya,Afrique,2005,5.90666607980057,18737895512.7378,523.456312433863,10.3127783574683,,2.745
KEN,Kenya,Afrique,2006,6.47249430015484,25825512284.2891,699.80237063381,14.4537342081708,,2.68
KEN,Kenya,Afrique,2007,6.85072976998784,31958195182.2406,840.201439476765,9.75888023027529,,2.65
KEN,Kenya,Afrique,2008,0.232282744812977,35895153327.8497,915.54435473604,26.2398166445063,,2.756
KEN,Kenya,Afrique,2009,3.30693981631089,42347217912.9176,1047.9678324485,9.23412592394652,,2.818
KEN,Kenya,Afrique,2010,8.05847360290906,45405615063.7551,1091.51873101194,3.96138889115385,,2.796
KEN,Kenya,Afrique,2011,5.1211061197056,46869473150.61,1096.14499807675,14.0224913014704,,2.704
KEN,Kenya,Afrique,2012,4.56867961444982,56396704671.5777,1285.00536171512,9.37777003547598,,2.682
KEN,Kenya,Afrique,2013,3.7978483925754,61671440407.8387,1370.87885214659,5.71749357037733,,2.764
KEN,Kenya,Afrique,2014,5.02011100232484,68285796514.2896,1482.81566253497,6.87815499275949,,2.768
KEN,Kenya,Afrique,2015,4.96772112759767,70120446896.8359,1489.11959777284,6.58215429284779,,2.762
KEN,Kenya,Afrique,2016,4.21351706814744,74815144163.8931,1554.12610314423,6.29724953814625,,2.757
KEN,Kenya,Afrique,2017,3.83795817364721,82036510877.2599,1667.48447230835,8.00564967709945,,3.541
KEN,Kenya,Afrique,2018,5.64794640709219,92202979985.2863,1836.45275528993,4.6898064677633,,4.284
KEN,Kenya,Afrique,2019,5.11415885767801,100378436207.371,1960.40808854893,5.23963795764792,,5.014
KEN,Kenya,Afrique,2020,-0.272766327438816,100657505750.545,1927.66459027849,5.40516207933392,,5.619
KEN,Kenya,Afrique,2021,7.59048947333467,109703658904.994,2061.35622089594,6.10793603659176,,5.693
KEN,Kenya,Afrique,2022,4.85998104287999,114448978152.637,2109.56288513137,7.65986268272224,,5.707
KEN,Kenya,Afrique,2023,5.71999241214208,107500884685.013,1942.58802756191,7.67139634029402,,5.567
KEN,Kenya,Afrique,2024,4.72473994710138,120339557905.932,2132.43452097647,4.48978854243448,,5.434
SEN,Senegal,Afrique,2000,3.88721095816793,6013185003.97525,603.233162455158,0.731981981981597,,2.668
SEN,Senegal,Afrique,2001,4.31085146618369,6507824829.26254,637.213530563724,2.97450083919566,,2.7
SEN,Senegal,Afrique,2002,0.0686965747419066,7006402319.75856,669.430447319209,2.33730187454299,,2.828
SEN,Senegal,Afrique,2003,5.59395094456143,8768721563.18211,817.888034221442,-0.0519970242714495,,2.794
SEN,Senegal,Afrique,2004,4.64329393683312,10076816666.6196,918.102079522155,0.514781781023016,,2.788
SEN,Senegal,Afrique,2005,4.31023852639633,11009033437.939,979.846101520171,1.71133325855502,,2.703
SEN,Senegal,Afrique,2006,2.33077098330239,11697918243.0035,1017.20196747987,2.11228583877117,,2.77
SEN,Senegal,Afrique,2007,2.82711920133374,13994218412.9619,1188.93877808175,5.85330428467681,,2.808
SEN,Senegal,Afrique,2008,3.70316906391386,16853989627.548,1398.79218010021,7.34720236578406,,2.822
SEN,Senegal,Afrique,2009,2.75210448455053,16145867494.9405,1308.69404336205,-2.2480214785534,,2.814
SEN,Senegal,Afrique,2010,3.39088925336209,16121315909.0758,1275.88357492357,1.22868119673344,,2.803
SEN,Senegal,Afrique,2011,1.33409107961258,17814283639.3119,1374.67591873844,3.40322829786971,,2.853
SEN,Senegal,Afrique,2012,4.00299555090457,17660870411.5235,1326.83798848379,1.41822871177854,,3.888
SEN,Senegal,Afrique,2013,2.41238527605579,18918667724.8817,1379.83196553924,0.710245486695176,,4.986
SEN,Senegal,Afrique,2014,6.22407443790986,19797253440.2679,1398.89137601382,-1.09025507446895,,5.841
SEN,Senegal,Afrique,2015,6.36704365066983,17774766696.1759,1218.00613555438,0.135211933635165,,6.757
SEN,Senegal,Afrique,2016,6.35606857181878,19040312333.1864,1266.43957151587,0.837284942557434,,4.455
SEN,Senegal,Afrique,2017,7.4074861863013,20996562943.5979,1356.80518449031,1.31815314847789,,4.078
SEN,Senegal,Afrique,2018,6.20924103389086,23116701556.1381,1452.55612562445,0.460985642464188,,3.455
SEN,Senegal,Afrique,2019,4.61362809749708,23403995992.1354,1431.18128932159,1.76011151192939,,2.863
SEN,Senegal,Afrique,2020,1.3420737726679,24530513037.7518,1461.08720350553,2.54314685681662,,3.437
SEN,Senegal,Afrique,2021,6.54400109964304,27520784129.7508,1598.10676952274,2.18032278088147,,3.44
SEN,Senegal,Afrique,2022,3.85043193735768,27783332222.6759,1574.0281059306,9.69681899081073,,2.837
SEN,Senegal,Afrique,2023,4.2574308328029,30696331295.7826,1698.03387300843,5.93947798773215,,2.8
SEN,Senegal,Afrique,2024,6.06055141198976,32808056600.9436,1773.21829923448,0.804503298792438,,2.992
ZAF,South Africa,Afrique,2000,4.20000000067826,151752757215.309,3217.84693448467,5.33895913599828,39.6390583837328,22.714
ZAF,South Africa,Afrique,2001,2.70000000019104,135429905922.526,2847.15191945908,5.70189483049608,,22.605
ZAF,South Africa,Afrique,2002,3.70037440406668,129087556612.449,2688.23676032806,9.494713780996,,22.547
ZAF,South Africa,Afrique,2003,2.94907546754213,197018965308.697,4062.21755993786,5.67942414068799,,22.629
ZAF,South Africa,Afrique,2004,4.55455990721774,255806908594.573,5221.46333731721,-0.692039437857687,,22.538
ZAF,South Africa,Afrique,2005,5.27705197295467,288867217196.534,5836.87663325127,2.06285308223427,,22.461
ZAF,South Africa,Afrique,2006,5.60380645895889,303858675363.643,6077.38293388876,3.2439076541923,,22.324
ZAF,South Africa,Afrique,2007,5.36047405394162,333077117253.684,6591.85535960564,6.17781214809388,,22.287
ZAF,South Africa,Afrique,2008,3.1910438863288,316131258616.309,6184.75474328399,9.90998456005467,,22.407
ZAF,South Africa,Afrique,2009,-1.53808913525583,329754060647.129,6374.70560042992,7.23809523809527,,23.523
ZAF,South Africa,Afrique,2010,3.03973288127956,417363822801.713,7973.47195771517,4.06749555950263,,24.683
ZAF,South Africa,Afrique,2011,3.16855627858818,458199494830.834,8646.05571071635,5.0008533879502,,24.639
ZAF,South Africa,Afrique,2012,2.39623238465745,434400545085.811,8076.97678479741,5.73797139141739,,24.727
ZAF,South Africa,Afrique,2013,2.48546800826588,400886013595.573,7331.65467384919,5.78016910069176,,24.561
ZAF,South Africa,Afrique,2014,1.41382645223793,381198869776.106,6856.73137092522,6.13282953059149,,24.89
ZAF,South Africa,Afrique,2015,1.32186223678229,346709790458.563,6112.27382485974,4.51869094892506,52.651157246849,25.149
ZAF,South Africa,Afrique,2016,0.664552307858116,323585509674.481,5651.20585165749,6.60290842394872,53.7387913927398,26.536
ZAF,South Africa,Afrique,2017,1.15794695181735,381448814653.456,6618.33508255701,5.18618655524149,56.2597208339946,27.035
ZAF,South Africa,Afrique,2018,1.55678384721676,405260723892.517,6914.1780318076,4.50987264867388,59.1023114125426,26.906
ZAF,South Africa,Afrique,2019,0.25993557687633,389330032224.269,6533.71121032856,4.10285075461156,64.589278136337,28.468
ZAF,South Africa,Afrique,2020,-6.1689177146757,337974655408.055,5580.60383075189,3.23238831615113,75.7255090818801,29.217
ZAF,South Africa,Afrique,2021,4.85864865060148,419986284375.368,6828.75624590017,4.61874544887136,74.0826080100226,34.007
ZAF,South Africa,Afrique,2022,2.05813661692193,407596043067.885,6534.24867783397,7.03987272546482,76.2054429487374,33.268
ZAF,South Africa,Afrique,2023,0.80610455095804,381440724491.232,6034.27208964673,6.0752438457966,79.446907709916,32.098
